user_id,name,email,phone,address,signup_date,last_login,loyalty_points,membership_status,preferred_payment_method,record_type,product_id,category,price,cost,stock_quantity,rating,discount,order_id,order_date,status,payment_method,shipping_address,total_amount,quantity,review_id,review_text,review_date
45.0,Angelica Tucker,rodney65@example.com,558.703.0468x7506,"Unit 3896 Box 3376, DPO AP 11419",2023-09-03,2025-05-29,980.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
46.0,Philip Cannon,jeffery48@example.net,790-636-1332,"862 Gibson Gateway, Arnoldville, AL 10250",2021-07-09,2022-03-25,781.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
47.0,John Pierce,asilva@example.net,510-376-0954,"39218 Michael Ferry, Mclaughlinland, NC 63005",2023-08-16,2023-12-09,344.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
48.0,Shane Henderson,anna99@example.com,335.305.8319x9717,"7761 Roberto Roads, Margaretburgh, AL 83706",2022-11-18,2023-01-14,104.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
49.0,Joshua Blair,gabrielle71@example.com,6068512070,"PSC 8814, Box 3192, APO AA 80022",2023-08-16,2024-05-17,94.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
50.0,Eric Carney,danielle44@example.net,810-580-4661,"78159 Riley Place Apt. 845, Thompsontown, VT 96430",2022-07-17,2023-01-19,389.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
51.0,Jessica Holmes,jacob83@example.org,+1-990-776-7699x150,"5686 Cheryl Knoll Apt. 257, West Christina, OR 74622",2025-05-10,2025-06-18,99.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
52.0,Danny Morgan,rguerrero@example.org,001-431-610-9193,"5394 Fuller Branch, Rojasberg, OR 80170",2024-06-21,2025-04-03,367.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
53.0,Crystal Robinson,rioswhitney@example.com,(867)797-2320x024,"729 Henderson Hollow Apt. 799, Washingtonside, AL 73016",2023-04-12,2024-12-25,9942.0,Gold,PayPal,user,,,,,,,,,,,,,,,,,
54.0,Mark Perez,vsullivan@example.org,498-222-7495x4508,"7485 Sullivan Club Apt. 984, South Stevenport, MP 60575",2025-03-09,2025-04-24,3317.0,Silver,Apple Pay,user,,,,,,,,,,,,,,,,,
55.0,Shannon Jones,matthewreeves@example.net,388.706.5333,"69881 Carter Prairie Apt. 445, Port Cassidyhaven, AS 52208",2024-02-29,2025-05-15,2666.0,Silver,PayPal,user,,,,,,,,,,,,,,,,,
56.0,Michael Lewis,qknox@example.com,677.895.9959,"10262 Williams Locks Suite 890, Port Amyview, ND 33618",2025-02-17,2025-08-14,855.0,Silver,Google Pay,user,,,,,,,,,,,,,,,,,
57.0,Timothy Duncan,megan82@example.com,921-770-7303x37933,"08898 Nancy Unions, West Timothyside, OH 31559",2022-10-09,2023-12-21,747.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
58.0,Richard Aguirre,ruizjoyce@example.net,001-463-662-0501x5081,"1856 Alexis Mission Suite 000, North Erin, VA 51668",2021-01-21,2025-07-27,470.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
59.0,Brent Jordan,staceylam@example.net,439.750.0334x234,"99530 Hughes Court Suite 937, Ryanshire, AR 66384",2023-04-21,2024-01-17,4892.0,Silver,Google Pay,user,,,,,,,,,,,,,,,,,
60.0,John Daniel,walkerjeffrey@example.com,+1-432-830-2410,"187 Robert Row, North Danielborough, NE 49307",2021-06-16,2022-12-14,1522.0,Silver,PayPal,user,,,,,,,,,,,,,,,,,
61.0,Victoria Garcia,vfrench@example.com,+1-315-334-7355x2896,"34444 Carolyn Cape, Webbmouth, NE 73721",2024-07-21,2024-08-24,3600.0,Silver,Google Pay,user,,,,,,,,,,,,,,,,,
62.0,Gerald Hensley,brenda71@example.com,(823)538-6559,"PSC 6524, Box 0622, APO AE 42916",2022-01-23,2022-04-08,80.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
63.0,Connor West,delacruzbrandy@example.net,2996384253,"PSC 9967, Box 2562, APO AE 24198",2022-08-24,2024-10-02,565.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
64.0,Donald Wright,kennedyjames@example.org,(489)873-1791,"3347 Jonathan Inlet, Lesterport, ND 38324",2021-11-12,2023-05-20,300.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
65.0,Jessica Callahan,amoreno@example.org,001-885-278-7255x87774,"9396 Jackson Vista Apt. 835, South Mariaberg, LA 44150",2021-01-14,2021-12-08,849.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
66.0,Amber Kidd,derrickgonzalez@example.com,833.473.6346,"29003 Anderson Ferry, Port Carlosfort, IA 84399",2021-08-30,2023-06-20,3462.0,Silver,Apple Pay,user,,,,,,,,,,,,,,,,,
67.0,Tracy House,tthomas@example.org,(248)912-1478x539,"2648 Christina Point Suite 585, East Breanna, ME 22824",2023-02-16,2025-02-10,2075.0,Silver,Credit Card,user,,,,,,,,,,,,,,,,,
68.0,Carol Tucker,freemancrystal@example.org,495.967.7665x75460,"51618 Burns Ridges Apt. 710, Sabrinahaven, PR 83958",2024-10-01,2025-07-18,721.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
69.0,James Brown,cynthia07@example.com,341.651.4888,"147 Parker Mountains Apt. 535, West Samuel, NC 96419",2022-07-19,2023-09-04,9139.0,Platinum,Google Pay,user,,,,,,,,,,,,,,,,,
70.0,William Baker,kathleenjackson@example.org,511.715.0835,"71594 Gonzalez Highway Apt. 053, Dixontown, IN 26090",2023-06-17,2025-03-24,875.0,Silver,PayPal,user,,,,,,,,,,,,,,,,,
71.0,Jordan Henderson,xglover@example.org,844-839-2840x445,"1133 Ronald Camp, Hunterburgh, AS 73484",2024-09-25,2025-05-31,677.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
72.0,Whitney Peters,christinaschultz@example.com,001-907-582-6333,"8730 Wilcox Mews, West Gabrielle, MD 24295",2021-04-02,2025-04-10,233.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
73.0,Brittney Phillips,ysanford@example.org,298.777.5153x66377,"5353 Burnett Tunnel Apt. 189, West Rogerfort, ID 38844",2024-10-22,2025-01-03,791.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
74.0,Lauren Daniels,fergusonjessica@example.org,(892)840-7553,"1776 Brittany Locks Apt. 433, Taylorshire, KS 49793",2023-08-14,2024-05-22,296.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
75.0,Amy Silva,katherine83@example.org,+1-868-845-9090x22599,"5099 Hannah Creek Apt. 898, Timothyshire, AK 70138",2025-01-18,2025-08-16,81.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
76.0,Sarah Moore,simsjohn@example.net,961.686.3715,"PSC 5211, Box 8968, APO AA 38182",2024-12-22,2025-02-06,875.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
77.0,Angela Lopez,larry16@example.net,421-582-0970,"4884 Aguilar Mill Apt. 857, Cynthiashire, MI 99359",2022-05-24,2024-09-25,238.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
78.0,Megan Young,gary04@example.com,264-733-4817,"022 Scott Prairie, Simonland, GU 18544",2023-02-15,2023-09-06,887.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
79.0,Steve Sanchez,mluna@example.net,502.456.6212x86716,"971 Smith Isle, Ruthview, MA 13461",2021-02-04,2022-01-21,3827.0,Gold,Google Pay,user,,,,,,,,,,,,,,,,,
80.0,Lisa Barnes,ryan25@example.com,546.972.9949,"7286 Christopher Stream, Lake Anthony, NC 66401",2021-07-25,2023-08-25,389.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
81.0,Kelly Donovan,karen26@example.org,930-927-1693x859,"119 Chelsea Overpass Apt. 459, Port Andrewshire, SC 22380",2024-01-10,2025-07-27,2777.0,Silver,Google Pay,user,,,,,,,,,,,,,,,,,
82.0,Mike Allen,jeffreymercer@example.org,590.414.7546x926,"9055 Ann Manors Suite 933, Christophermouth, WA 66638",2025-05-05,2025-08-09,464.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
83.0,Michael Evans,lawrencegary@example.com,+1-667-362-9160x324,"705 David Locks, Lake Julieville, OK 32106",2024-11-12,2025-02-21,18415.0,Platinum,Google Pay,user,,,,,,,,,,,,,,,,,
84.0,Paul Jones,brooksdanielle@example.net,001-937-468-1511x856,"38297 Taylor Way, Michaelbury, VA 56415",2023-10-23,2024-11-21,854.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
85.0,Zachary Ferrell,wheelerbrandon@example.org,838-207-0176x563,"858 Melissa Stravenue, North Justinton, FM 18278",2023-10-19,2024-10-01,373.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
86.0,Daniel Baker,williamsdarrell@example.com,3415257771,"61587 Nicholas Locks Apt. 713, Williamfurt, OK 32658",2024-11-14,2025-03-03,10664.0,Platinum,Apple Pay,user,,,,,,,,,,,,,,,,,
87.0,Shirley Suarez,qmartinez@example.com,001-372-874-2209x124,"005 Cantrell Terrace, Davisport, NV 87750",2022-07-20,2024-09-02,6032.0,Gold,Google Pay,user,,,,,,,,,,,,,,,,,
88.0,Christopher Bass,jamiejennings@example.org,(210)542-7523,"6397 Michael Turnpike Apt. 164, South Sue, RI 06083",2024-02-04,2025-01-19,5910.0,Gold,Apple Pay,user,,,,,,,,,,,,,,,,,
89.0,Lisa Archer,robert18@example.com,508.516.4709x006,"7270 Amy Manor, Ortizmouth, PW 33186",2025-02-09,2025-05-12,214.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
90.0,Aimee Montoya,robertroach@example.net,(333)410-6005x313,"4416 Austin Cove, Haleymouth, SC 27336",2022-12-04,2024-07-06,686.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
91.0,Matthew Mcmillan,campbellkristen@example.com,001-820-868-1558x3938,"4051 Jacob Points Apt. 273, West Douglaschester, IL 55842",2022-02-06,2024-09-17,2687.0,Silver,Credit Card,user,,,,,,,,,,,,,,,,,
92.0,Brian Rodriguez,chelseastrickland@example.net,733-215-5206,"4471 Brittany Underpass, North Barbara, OK 06386",2022-12-31,2025-08-24,8749.0,Gold,Google Pay,user,,,,,,,,,,,,,,,,,
93.0,Denise Jacobs,michaelortiz@example.org,(937)331-4950x1364,"9092 William Track Suite 987, Monicastad, DE 93157",2025-04-29,2025-07-02,1084.0,Silver,Google Pay,user,,,,,,,,,,,,,,,,,
94.0,Christina Walters,kelleyrenee@example.net,001-789-924-1956x252,"727 Shawn Flat Apt. 688, Port Danielfurt, MP 36020",2021-06-11,2024-03-23,1901.0,Silver,Google Pay,user,,,,,,,,,,,,,,,,,
95.0,John Whitehead,arivera@example.org,250-599-7683,"43988 William Ford, Ramosstad, NY 29657",2021-07-21,2023-11-22,546.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
96.0,Anna Henderson,meadowsmary@example.net,2914436391,"4770 Davis Stravenue, New Alexanderville, MI 25798",2023-09-23,2024-05-18,2505.0,Silver,Credit Card,user,,,,,,,,,,,,,,,,,
97.0,Aaron Wise,fhernandez@example.net,(474)632-6303x975,"28262 Baker Expressway Apt. 412, North Cheryl, VA 86008",2021-09-27,2022-08-28,167.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
98.0,Deborah Figueroa,cummingscraig@example.com,508-864-0355x33803,"04410 Jasmine Park Suite 193, West Nathan, WI 31984",2023-03-27,2025-07-08,473.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
99.0,Jessica Smith,stephenmadden@example.com,452.570.1713x02321,"97941 Douglas Harbor, Johnsonside, NJ 20295",2024-07-18,2025-01-16,388.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
100.0,Stephen Mckee,lwilliams@example.org,881.467.4233,"632 Nathaniel Park Suite 224, West Marisaborough, HI 55448",2022-04-01,2023-11-01,2711.0,Silver,Google Pay,user,,,,,,,,,,,,,,,,,
101.0,Sandra Aguilar,michael56@example.net,+1-834-449-7347x156,"34686 Grace Forge, South Alexanderside, MO 59306",2025-01-25,2025-06-24,947.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
102.0,Cameron Parker,daviskatherine@example.org,476.489.6270x6614,"20095 Peter Unions, Griffithland, OK 47738",2024-06-29,2025-06-28,655.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
103.0,Rebecca Valencia,christianelizabeth@example.org,467-947-4689x715,"57795 Brian Park, East Matthew, AS 74305",2023-10-14,2025-05-19,2299.0,Silver,PayPal,user,,,,,,,,,,,,,,,,,
104.0,Christine Wright,michael79@example.com,823.800.8576,"Unit 0739 Box 7130, DPO AP 59676",2021-10-23,2022-05-03,701.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
105.0,Richard Henson,watsonmatthew@example.org,001-556-874-9160x1692,"38690 Wilkerson Shoal, Simpsonburgh, DE 03771",2022-12-21,2023-09-22,3156.0,Silver,Apple Pay,user,,,,,,,,,,,,,,,,,
106.0,Marc Moore,dross@example.com,758-275-0663x370,"4617 Ashley Plaza Apt. 707, Kirkchester, AR 19467",2021-12-04,2023-06-01,863.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
107.0,Sharon Cherry,evaughn@example.com,001-324-397-2439x920,"2252 Deborah Bridge Apt. 523, Karinaberg, VA 87574",2023-05-29,2024-01-08,786.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
108.0,Sierra Johnson,danielhorton@example.org,+1-866-691-8362x6448,"7726 Jared Falls Suite 551, East Thomas, CO 85900",2023-12-13,2025-08-04,958.0,Silver,Credit Card,user,,,,,,,,,,,,,,,,,
109.0,Evelyn Galvan,dalepruitt@example.com,001-961-219-5243x6402,"802 Gould Views Suite 985, South Benjaminville, CT 75863",2023-03-03,2023-04-28,234.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
110.0,Sharon Cochran,ywhite@example.com,716-486-4622,"912 Fernandez Lodge Suite 986, Timothychester, WY 67832",2021-08-05,2025-03-05,841.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
111.0,Richard Rodriguez,huffmannichole@example.net,001-223-472-8179x323,"76008 Collins Green, New Karamouth, GU 86661",2023-02-03,2023-06-07,32.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
112.0,Shannon Walker,timothyfreeman@example.com,001-334-767-9121x41614,"190 Carter Vista, North Samuel, AZ 07100",2021-07-07,2024-02-12,824.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
113.0,Julia Torres,qwilliams@example.net,2932771004,"9235 Joshua Grove, Nelsonton, NY 21173",2022-01-15,2022-11-21,13168.0,Platinum,PayPal,user,,,,,,,,,,,,,,,,,
114.0,Crystal Johnson,alexander89@example.net,938-706-9847,"4622 Gary Expressway Apt. 720, Raventown, FM 27781",2022-05-08,2022-08-11,410.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
115.0,Garrett Lin,tiffanysantiago@example.com,+1-765-755-5356x690,"00886 Laura Summit, Chavezshire, DE 80741",2023-12-01,2025-05-25,5193.0,Gold,PayPal,user,,,,,,,,,,,,,,,,,
116.0,Diana May,reynoldsjessica@example.com,607-562-0918,"41600 Patrick Terrace, Port Jimmy, TX 65312",2024-03-26,2025-01-15,67.0,Bronze,Google Pay,user,,,,,,,,,,,,,,,,,
117.0,William Herrera,elizabeth62@example.net,(779)978-6305x050,"989 Singh River Apt. 608, Kevinland, PR 72277",2021-01-15,2023-03-15,2228.0,Silver,Credit Card,user,,,,,,,,,,,,,,,,,
118.0,Ashley Waller,smithsarah@example.net,397.869.1567,"3000 Sutton Gateway Suite 113, Millerville, NC 11663",2021-03-06,2024-10-18,3077.0,Silver,Apple Pay,user,,,,,,,,,,,,,,,,,
119.0,Victor Baker,kchristian@example.org,993-428-9802x7148,"458 Katherine Valley Suite 203, Lindatown, CA 48082",2022-06-05,2025-02-23,2241.0,Silver,PayPal,user,,,,,,,,,,,,,,,,,
120.0,Jeffrey Chandler,vflores@example.com,417.783.3321x160,"6607 Brooks Ports, Justinview, VI 53509",2024-09-29,2025-05-11,671.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
121.0,Larry Dixon,hunterandrea@example.com,(343)747-1287x1539,"010 Joseph Row, Port Donaldside, PW 12507",2024-02-27,2024-06-01,511.0,Bronze,PayPal,user,,,,,,,,,,,,,,,,,
122.0,Kenneth Scott,fmontoya@example.com,(568)363-3414x1115,"38794 Edward Lock, North Alyssa, NY 09679",2022-10-10,2023-05-29,405.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
123.0,April Frost,csolis@example.org,001-552-856-9040,"73536 Moore Forges Suite 700, Christopherville, WI 73903",2025-02-04,2025-07-02,8266.0,Gold,Credit Card,user,,,,,,,,,,,,,,,,,
124.0,Michelle Harmon,hwest@example.com,(455)628-9931x60875,"USNV Rodriguez, FPO AE 90497",2023-12-23,2025-01-07,6758.0,Gold,PayPal,user,,,,,,,,,,,,,,,,,
125.0,Helen Jones,garciarobert@example.net,777.629.4209,"255 Justin Way, Wilsonton, AR 61403",2024-03-08,2024-06-02,10340.0,Platinum,Apple Pay,user,,,,,,,,,,,,,,,,,
126.0,Erin Edwards,petersenlatoya@example.net,214.497.3746x05233,"46600 David Gardens, South Christopher, CO 95319",2025-03-03,2025-06-23,271.0,Bronze,Credit Card,user,,,,,,,,,,,,,,,,,
127.0,Michelle Evans,pamela83@example.net,364.620.8656x7566,"29615 David Shoal, Staceystad, AL 65743",2022-08-16,2023-01-01,1643.0,Silver,Credit Card,user,,,,,,,,,,,,,,,,,
128.0,Jason Powell,xclements@example.org,438-961-2590x4729,"3446 Tara Inlet Apt. 276, Port Cynthia, MS 03797",2022-01-27,2024-06-28,5020.0,Gold,Credit Card,user,,,,,,,,,,,,,,,,,
129.0,Cameron Fisher,meganrivera@example.net,001-874-823-3305x912,"3057 Tamara Inlet, Bruceview, IA 46339",2025-08-26,2025-08-31,762.0,Bronze,Apple Pay,user,,,,,,,,,,,,,,,,,
