user_id,name,email,phone,address,signup_date,membership_status,loyalty_points,customer_lifecycle,state,city,timezone,age_group,gender,income_level,acquisition_channel,referral_source,engagement_level,is_newsletter_subscriber,is_sms_subscriber,last_login_date,total_logins,estimated_clv,customer_preferences,communication_preferences
11,Monica Herrera,monicaherrera@icloud.com,(485) 771-5890,"3685 Park Ave, Jeffreyborough, SD 37168",2024-03-24,Bronze,1500,at_risk,SD,Jeffreyborough,EST,25-34,F,Lower-Middle,social_media,,medium,True,False,2024-05-09,75,152.0,"{'preferred_categories': ['Home', 'Health', 'Toys'], 'price_sensitivity': 'medium', 'brand_loyalty': 'high', 'shopping_frequency': 'frequent', 'preferred_payment': 'paypal'}","{'email': False, 'sms': False, 'push_notifications': True, 'phone_calls': False}"
12,Jamie Arnold,jamie_arnold@icloud.com,(845) 553-3399,"4759 Main St Apt 732, North Brandon, NY 55398",2022-11-05,Platinum,17951,champion,NY,North Brandon,EST,18-24,F,Middle,affiliate,,high,False,False,2025-06-09,87,1849.37,"{'preferred_categories': ['Health', 'Home', 'Books', 'Clothing'], 'price_sensitivity': 'high', 'brand_loyalty': 'medium', 'shopping_frequency': 'frequent', 'preferred_payment': 'paypal'}","{'email': True, 'sms': False, 'push_notifications': False, 'phone_calls': True}"
13,Lisa Hensley,thelisahensley@icloud.com,(909) 445-4972,"832 Cedar St Apt 239, Carrland, CA 23133",2024-03-13,Gold,15973,champion,CA,Carrland,PST,25-34,F,Lower-Middle,referral,colleague,medium,True,True,2024-05-29,84,693.34,"{'preferred_categories': ['Home', 'Clothing', 'Electronics'], 'price_sensitivity': 'low', 'brand_loyalty': 'low', 'shopping_frequency': 'regular', 'preferred_payment': 'credit_card'}","{'email': False, 'sms': False, 'push_notifications': True, 'phone_calls': False}"
14,Michele Williams,michele_williams@yahoo.com,(940) 404-5706,"5263 Park Ave, Perryshire, TX 21725",2023-07-28,Silver,2895,at_risk,TX,Perryshire,CST,35-44,Other,Lower-Middle,paid_search,,low,True,False,2025-08-02,68,145.62,"{'preferred_categories': ['Clothing', 'Books'], 'price_sensitivity': 'medium', 'brand_loyalty': 'low', 'shopping_frequency': 'occasional', 'preferred_payment': 'debit_card'}","{'email': True, 'sms': True, 'push_notifications': True, 'phone_calls': False}"
15,Dylan Miller,dylan.miller.60@gmail.com,(707) 390-5742,"614 Main St Apt 618, Lake Heather, MD 53914",2025-07-30,Bronze,329,developing,MD,Lake Heather,EST,45-54,M,Middle,organic_search,,high,False,True,2025-08-09,100,155.71,"{'preferred_categories': ['Health', 'Sports', 'Toys', 'Books'], 'price_sensitivity': 'medium', 'brand_loyalty': 'high', 'shopping_frequency': 'regular', 'preferred_payment': 'paypal'}","{'email': False, 'sms': False, 'push_notifications': False, 'phone_calls': True}"
16,Brian Ramirez,brian27@msn.com,(366) 948-8518,"4216 First St Unit 346, Rossberg, IL 84420",2023-09-27,Bronze,2018,at_risk,IL,Rossberg,CST,45-54,F,Middle,referral,review_site,very_high,True,True,2025-01-24,28,380.92,"{'preferred_categories': ['Home', 'Beauty', 'Health', 'Electronics', 'Books'], 'price_sensitivity': 'low', 'brand_loyalty': 'medium', 'shopping_frequency': 'regular', 'preferred_payment': 'apple_pay'}","{'email': True, 'sms': True, 'push_notifications': True, 'phone_calls': True}"
17,Holly Wood,holly.wood@aol.com,(510) 343-8822,"5302 Second St Suite 393, Port Michelleville, CA 68554",2025-07-07,Bronze,513,developing,CA,Port Michelleville,PST,55-64,M,Low,influencer,,medium,False,False,2025-07-27,90,136.97,"{'preferred_categories': ['Books', 'Home'], 'price_sensitivity': 'medium', 'brand_loyalty': 'high', 'shopping_frequency': 'regular', 'preferred_payment': 'debit_card'}","{'email': True, 'sms': True, 'push_notifications': False, 'phone_calls': False}"
18,Derek Zuniga,thederekzuniga@yahoo.com,(408) 676-6026,"2617 Lincoln Ave, Robinsonhaven, CA 50760",2023-02-11,Gold,11615,champion,CA,Robinsonhaven,PST,35-44,F,Low,email_marketing,,high,True,False,2024-03-28,50,1236.18,"{'preferred_categories': ['Books', 'Home'], 'price_sensitivity': 'low', 'brand_loyalty': 'medium', 'shopping_frequency': 'regular', 'preferred_payment': 'debit_card'}","{'email': False, 'sms': True, 'push_notifications': False, 'phone_calls': True}"
19,Lisa Jackson,thelisajackson@gmail.com,(820) 582-7813,"8999 Broadway, Williamsbury, NJ 97044",2024-03-07,Silver,4001,loyal,NJ,Williamsbury,EST,25-34,F,Low,referral,colleague,low,True,True,2025-08-01,42,251.99,"{'preferred_categories': ['Beauty', 'Books', 'Home', 'Clothing', 'Electronics'], 'price_sensitivity': 'medium', 'brand_loyalty': 'high', 'shopping_frequency': 'frequent', 'preferred_payment': 'credit_card'}","{'email': True, 'sms': False, 'push_notifications': True, 'phone_calls': False}"
20,Carla Gray,carla.gray@icloud.com,(777) 314-2011,"8973 Cedar St Suite 550, South Dennismouth, CO 31566",2025-01-21,Bronze,1023,at_risk,CO,South Dennismouth,MST,25-34,F,Low,paid_search,,low,False,False,2025-02-21,84,41.67,"{'preferred_categories': ['Health', 'Beauty', 'Books'], 'price_sensitivity': 'medium', 'brand_loyalty': 'medium', 'shopping_frequency': 'regular', 'preferred_payment': 'apple_pay'}","{'email': True, 'sms': False, 'push_notifications': True, 'phone_calls': True}"
21,Margaret Hawkins DDS,margaret_dds@yahoo.com,(335) 725-7806,"7485 Elm St Unit 474, Stephaniemouth, IL 12853",2024-05-28,Gold,9362,loyal,IL,Stephaniemouth,CST,18-24,F,Upper-Middle,affiliate,,medium,False,False,2024-09-26,28,1134.77,"{'preferred_categories': ['Electronics', 'Books'], 'price_sensitivity': 'low', 'brand_loyalty': 'low', 'shopping_frequency': 'occasional', 'preferred_payment': 'credit_card'}","{'email': True, 'sms': True, 'push_notifications': True, 'phone_calls': False}"
22,Patty Perez,patty.perez@gmail.com,(347) 683-1519,"4704 Lincoln Ave Ste 139, Rivasside, NY 59081",2025-04-26,Bronze,810,at_risk,NY,Rivasside,EST,45-54,F,Middle,organic_search,,medium,True,False,2025-06-11,81,238.71,"{'preferred_categories': ['Sports', 'Books', 'Beauty', 'Clothing', 'Electronics'], 'price_sensitivity': 'low', 'brand_loyalty': 'medium', 'shopping_frequency': 'occasional', 'preferred_payment': 'credit_card'}","{'email': False, 'sms': False, 'push_notifications': False, 'phone_calls': True}"
23,Ethan Adams,ethanadams@gmail.com,(750) 602-9664,"2087 Second St, Merrittfort, VA 12979",2023-05-03,Silver,4113,loyal,VA,Merrittfort,EST,25-34,M,Upper-Middle,social_media,,medium,True,False,2024-01-28,54,484.63,"{'preferred_categories': ['Clothing', 'Toys', 'Beauty'], 'price_sensitivity': 'high', 'brand_loyalty': 'high', 'shopping_frequency': 'occasional', 'preferred_payment': 'credit_card'}","{'email': False, 'sms': False, 'push_notifications': False, 'phone_calls': True}"
24,Tommy Walter,tommy58@icloud.com,(393) 942-2848,"528 Lincoln Ave, Greenbury, ID 12050",2023-09-07,Silver,3796,loyal,ID,Greenbury,EST,45-54,M,Lower-Middle,organic_search,,medium,True,True,2024-11-08,12,237.8,"{'preferred_categories': ['Clothing', 'Home', 'Beauty', 'Books', 'Health'], 'price_sensitivity': 'medium', 'brand_loyalty': 'low', 'shopping_frequency': 'frequent', 'preferred_payment': 'apple_pay'}","{'email': False, 'sms': False, 'push_notifications': False, 'phone_calls': False}"
25,Matthew Foster,matthew_foster@hotmail.com,(649) 439-9843,"3560 Main St Suite 297, Katiehaven, SC 85511",2023-05-15,Silver,7930,loyal,SC,Katiehaven,EST,55-64,F,Middle,paid_search,,high,True,False,2023-09-08,34,531.13,"{'preferred_categories': ['Health', 'Clothing', 'Home', 'Sports'], 'price_sensitivity': 'high', 'brand_loyalty': 'high', 'shopping_frequency': 'regular', 'preferred_payment': 'apple_pay'}","{'email': True, 'sms': False, 'push_notifications': False, 'phone_calls': True}"
26,Judy Baker,judy.baker@protonmail.com,(770) 805-3869,"7000 Cedar St, Simsview, MO 55143",2023-06-07,Gold,7558,loyal,MO,Simsview,CST,18-24,M,Upper-Middle,paid_search,,high,True,True,2024-02-05,61,1625.08,"{'preferred_categories': ['Sports', 'Health', 'Toys', 'Beauty'], 'price_sensitivity': 'high', 'brand_loyalty': 'low', 'shopping_frequency': 'frequent', 'preferred_payment': 'paypal'}","{'email': True, 'sms': True, 'push_notifications': False, 'phone_calls': False}"
27,Justin Baker,justin.baker.33@gmail.com,(750) 684-4948,"3693 Park Ave, Jonesport, TN 28920",2024-06-06,Bronze,2595,at_risk,TN,Jonesport,EST,18-24,M,Middle,social_media,,medium,True,False,2024-06-08,43,187.95,"{'preferred_categories': ['Health', 'Books', 'Electronics', 'Toys', 'Beauty'], 'price_sensitivity': 'low', 'brand_loyalty': 'medium', 'shopping_frequency': 'frequent', 'preferred_payment': 'paypal'}","{'email': False, 'sms': False, 'push_notifications': False, 'phone_calls': False}"
28,Stephanie Ross,stephanieross@outlook.com,(661) 862-2295,"7370 Washington St Suite 742, West Matthew, CA 16755",2022-10-13,Gold,10572,champion,CA,West Matthew,PST,25-34,F,Middle,referral,colleague,medium,True,False,2024-07-08,98,1122.05,"{'preferred_categories': ['Sports', 'Beauty', 'Books', 'Clothing', 'Electronics'], 'price_sensitivity': 'high', 'brand_loyalty': 'low', 'shopping_frequency': 'regular', 'preferred_payment': 'credit_card'}","{'email': True, 'sms': True, 'push_notifications': True, 'phone_calls': False}"
29,Zachary Hicks,zachary34@gmail.com,(215) 416-4113,"1923 Broadway, East Edwardfurt, MO 89220",2023-06-10,Gold,11791,champion,MO,East Edwardfurt,CST,25-34,F,Lower-Middle,organic_search,,low,False,False,2025-05-09,90,401.54,"{'preferred_categories': ['Clothing', 'Books', 'Health', 'Beauty'], 'price_sensitivity': 'low', 'brand_loyalty': 'medium', 'shopping_frequency': 'occasional', 'preferred_payment': 'apple_pay'}","{'email': True, 'sms': True, 'push_notifications': False, 'phone_calls': True}"
30,Anthony Rodriguez,anthony46@gmail.com,(467) 568-9401,"8148 Broadway Ste 740, Lake Jason, PA 51973",2024-02-03,Bronze,2502,at_risk,PA,Lake Jason,EST,45-54,F,Upper-Middle,email_marketing,,medium,True,False,2025-07-22,15,316.28,"{'preferred_categories': ['Health', 'Electronics', 'Books'], 'price_sensitivity': 'high', 'brand_loyalty': 'medium', 'shopping_frequency': 'regular', 'preferred_payment': 'debit_card'}","{'email': False, 'sms': False, 'push_notifications': True, 'phone_calls': True}"
31,Rebecca Henderson,rebecca_awesome3@gmail.com,(793) 937-7841,"4837 First St Ste 236, Russellside, MD 84683",2024-06-05,Gold,13431,champion,MD,Russellside,EST,35-44,M,Lower-Middle,email_marketing,,low,False,True,2025-06-04,98,580.77,"{'preferred_categories': ['Books', 'Home'], 'price_sensitivity': 'low', 'brand_loyalty': 'high', 'shopping_frequency': 'frequent', 'preferred_payment': 'credit_card'}","{'email': True, 'sms': True, 'push_notifications': False, 'phone_calls': True}"
32,James Ferrell,jamesferrell@aol.com,(518) 937-9954,"8001 First St, Perryborough, NY 81058",2025-07-11,Bronze,654,developing,NY,Perryborough,EST,25-34,F,Lower-Middle,organic_search,,low,False,True,2025-08-08,11,128.66,"{'preferred_categories': ['Home', 'Books', 'Sports', 'Health', 'Toys'], 'price_sensitivity': 'medium', 'brand_loyalty': 'medium', 'shopping_frequency': 'frequent', 'preferred_payment': 'debit_card'}","{'email': False, 'sms': True, 'push_notifications': True, 'phone_calls': True}"
33,Tricia Valencia,triciavalencia@outlook.com,(845) 436-2113,"2475 Main St Unit 467, Priceshire, WV 17923",2023-09-25,Bronze,2571,at_risk,WV,Priceshire,EST,45-54,F,Middle,paid_search,,medium,True,False,2023-10-20,90,142.68,"{'preferred_categories': ['Home', 'Clothing', 'Sports'], 'price_sensitivity': 'low', 'brand_loyalty': 'low', 'shopping_frequency': 'occasional', 'preferred_payment': 'debit_card'}","{'email': False, 'sms': False, 'push_notifications': False, 'phone_calls': True}"
34,Nathan Maldonado,nathan.maldonado@icloud.com,(217) 742-5501,"8778 Park Ave Ste 833, Port Nicoleshire, AZ 33496",2023-10-24,Platinum,17907,champion,AZ,Port Nicoleshire,MST,35-44,M,Middle,paid_search,,medium,True,False,2024-04-20,77,1287.9,"{'preferred_categories': ['Clothing', 'Toys', 'Health', 'Beauty', 'Books'], 'price_sensitivity': 'medium', 'brand_loyalty': 'low', 'shopping_frequency': 'frequent', 'preferred_payment': 'paypal'}","{'email': True, 'sms': False, 'push_notifications': True, 'phone_calls': True}"
35,Debra Davidson,debra77@gmail.com,(845) 670-4984,"3701 Park Ave, Woodsstad, NY 20566",2023-05-10,Platinum,20046,champion,NY,Woodsstad,EST,18-24,F,Low,direct,,medium,False,False,2024-07-30,4,877.99,"{'preferred_categories': ['Health', 'Electronics', 'Home', 'Beauty'], 'price_sensitivity': 'high', 'brand_loyalty': 'medium', 'shopping_frequency': 'regular', 'preferred_payment': 'debit_card'}","{'email': False, 'sms': True, 'push_notifications': True, 'phone_calls': False}"
36,Jeffrey Chavez,officialjeffreychavez@protonmail.com,(375) 284-9189,"7110 Washington St, Karenchester, MT 22499",2025-08-29,Silver,1758,new,MT,Karenchester,EST,65+,F,Lower-Middle,paid_search,,high,False,True,2025-09-01,75,599.44,"{'preferred_categories': ['Home', 'Toys'], 'price_sensitivity': 'high', 'brand_loyalty': 'high', 'shopping_frequency': 'occasional', 'preferred_payment': 'apple_pay'}","{'email': True, 'sms': True, 'push_notifications': False, 'phone_calls': False}"
37,Sherri Baker,thesherribaker@yahoo.com,(626) 756-1539,"2939 Washington St Suite 213, South Jeffrey, CA 62205",2023-02-19,Silver,4110,loyal,CA,South Jeffrey,PST,65+,M,High,paid_search,,medium,True,False,2025-01-24,98,521.61,"{'preferred_categories': ['Health', 'Electronics', 'Home', 'Beauty', 'Toys'], 'price_sensitivity': 'medium', 'brand_loyalty': 'medium', 'shopping_frequency': 'frequent', 'preferred_payment': 'credit_card'}","{'email': True, 'sms': False, 'push_notifications': False, 'phone_calls': False}"
38,Cassandra Gaines,cassandra.gaines.27@aol.com,(905) 941-2284,"8205 Washington St Suite 448, Tuckerfurt, SD 19963",2024-04-21,Bronze,2397,at_risk,SD,Tuckerfurt,EST,55-64,M,Lower-Middle,referral,review_site,high,True,False,2024-06-15,80,178.32,"{'preferred_categories': ['Health', 'Electronics'], 'price_sensitivity': 'medium', 'brand_loyalty': 'medium', 'shopping_frequency': 'regular', 'preferred_payment': 'credit_card'}","{'email': False, 'sms': True, 'push_notifications': False, 'phone_calls': False}"
39,Elizabeth Fowler,elizabeth51@icloud.com,(766) 584-8075,"3044 Elm St, Elizabethfurt, MS 21232",2022-11-04,Gold,16835,champion,MS,Elizabethfurt,EST,25-34,M,Middle,organic_search,,high,False,False,2023-11-01,2,1047.02,"{'preferred_categories': ['Health', 'Books', 'Electronics', 'Clothing', 'Beauty'], 'price_sensitivity': 'high', 'brand_loyalty': 'low', 'shopping_frequency': 'regular', 'preferred_payment': 'debit_card'}","{'email': False, 'sms': True, 'push_notifications': True, 'phone_calls': True}"
40,Brittany Farmer,officialbrittanyfarmer@yahoo.com,(598) 524-6909,"1746 Oak Ave Ste 316, Port Tanner, RI 57175",2024-09-05,Silver,3789,loyal,RI,Port Tanner,EST,45-54,F,Low,paid_search,,low,True,False,2025-08-29,50,96.88,"{'preferred_categories': ['Clothing', 'Health', 'Electronics', 'Home', 'Toys'], 'price_sensitivity': 'high', 'brand_loyalty': 'low', 'shopping_frequency': 'regular', 'preferred_payment': 'apple_pay'}","{'email': False, 'sms': False, 'push_notifications': False, 'phone_calls': False}"
41,Paula Moreno,paula81@yahoo.com,(767) 295-6315,"6312 Main St Apt 398, New Amanda, TN 83339",2023-08-16,Bronze,3432,loyal,TN,New Amanda,EST,65+,M,Middle,paid_search,,very_high,False,False,2024-03-08,62,334.41,"{'preferred_categories': ['Beauty', 'Books', 'Electronics'], 'price_sensitivity': 'medium', 'brand_loyalty': 'medium', 'shopping_frequency': 'regular', 'preferred_payment': 'apple_pay'}","{'email': True, 'sms': False, 'push_notifications': False, 'phone_calls': False}"
42,Fred Smith,fred_smith@gmail.com,(349) 264-3739,"7122 Park Ave, Vargastown, NE 73469",2023-07-12,Silver,6970,loyal,NE,Vargastown,EST,45-54,F,Middle,paid_search,,medium,True,False,2024-05-14,49,308.34,"{'preferred_categories': ['Toys', 'Sports', 'Books', 'Home'], 'price_sensitivity': 'medium', 'brand_loyalty': 'medium', 'shopping_frequency': 'occasional', 'preferred_payment': 'paypal'}","{'email': False, 'sms': True, 'push_notifications': False, 'phone_calls': True}"
43,Sherry Decker,sherry73@icloud.com,(206) 605-6443,"6225 Washington St, Lake Roymouth, IL 66441",2024-08-20,Bronze,2074,at_risk,IL,Lake Roymouth,CST,25-34,F,Upper-Middle,social_media,,low,True,False,2025-02-01,34,147.85,"{'preferred_categories': ['Beauty', 'Home', 'Electronics', 'Clothing', 'Health'], 'price_sensitivity': 'low', 'brand_loyalty': 'medium', 'shopping_frequency': 'occasional', 'preferred_payment': 'debit_card'}","{'email': True, 'sms': True, 'push_notifications': False, 'phone_calls': True}"
44,Anthony Humphrey,anthony_humphrey@icloud.com,(526) 498-9044,"9436 Second St, North Jorge, KS 46739",2024-03-01,Platinum,11159,champion,KS,North Jorge,EST,65+,F,Middle,organic_search,,low,False,False,2024-05-29,30,1328.96,"{'preferred_categories': ['Books', 'Toys', 'Electronics', 'Beauty'], 'price_sensitivity': 'high', 'brand_loyalty': 'high', 'shopping_frequency': 'regular', 'preferred_payment': 'apple_pay'}","{'email': False, 'sms': True, 'push_notifications': True, 'phone_calls': True}"
45,Angelica Tucker,officialangelicatucker@gmail.com,(672) 925-4434,"7184 Park Ave, Jasonmouth, OK 19064",2023-12-23,Silver,8159,loyal,OK,Jasonmouth,EST,45-54,F,Middle,organic_search,,low,True,True,2025-02-17,46,315.86,"{'preferred_categories': ['Books', 'Electronics'], 'price_sensitivity': 'high', 'brand_loyalty': 'high', 'shopping_frequency': 'occasional', 'preferred_payment': 'debit_card'}","{'email': True, 'sms': False, 'push_notifications': True, 'phone_calls': True}"
46,Philip Cannon,officialphilipcannon@protonmail.com,(633) 586-2211,"7358 Elm St, Kathleenfurt, WV 62534",2023-08-24,Gold,14803,champion,WV,Kathleenfurt,EST,25-34,M,Low,organic_search,,medium,False,True,2024-02-14,75,785.25,"{'preferred_categories': ['Books', 'Clothing', 'Health', 'Sports'], 'price_sensitivity': 'medium', 'brand_loyalty': 'high', 'shopping_frequency': 'frequent', 'preferred_payment': 'paypal'}","{'email': True, 'sms': True, 'push_notifications': True, 'phone_calls': False}"
47,John Pierce,thejohnpierce@yahoo.com,(563) 370-1725,"9228 Lincoln Ave, Karenchester, AZ 53463",2023-08-17,Silver,7622,loyal,AZ,Karenchester,MST,18-24,M,Middle,organic_search,,medium,True,False,2025-01-01,76,394.96,"{'preferred_categories': ['Home', 'Health', 'Toys'], 'price_sensitivity': 'medium', 'brand_loyalty': 'medium', 'shopping_frequency': 'regular', 'preferred_payment': 'credit_card'}","{'email': False, 'sms': False, 'push_notifications': True, 'phone_calls': True}"
48,Shane Henderson,shane_henderson@icloud.com,(934) 354-6651,"403 Broadway Apt 426, Maryfort, NY 25213",2022-10-11,Gold,17097,champion,NY,Maryfort,EST,35-44,M,Low,direct,,medium,True,False,2023-05-30,38,519.11,"{'preferred_categories': ['Books', 'Toys', 'Beauty', 'Home'], 'price_sensitivity': 'medium', 'brand_loyalty': 'low', 'shopping_frequency': 'regular', 'preferred_payment': 'debit_card'}","{'email': True, 'sms': True, 'push_notifications': False, 'phone_calls': False}"
49,Joshua Blair,joshua_blair@live.com,(939) 913-8412,"5226 Oak Ave, Lake Amberstad, UT 25084",2025-06-26,Bronze,455,developing,UT,Lake Amberstad,MST,25-34,M,Middle,social_media,,low,True,True,2025-07-21,33,35.24,"{'preferred_categories': ['Books', 'Beauty'], 'price_sensitivity': 'low', 'brand_loyalty': 'high', 'shopping_frequency': 'frequent', 'preferred_payment': 'credit_card'}","{'email': False, 'sms': False, 'push_notifications': True, 'phone_calls': False}"
50,Eric Carney,eric_awesome71@outlook.com,(636) 673-4798,"6637 First St Ste 674, Lake Casey, LA 61849",2023-07-02,Bronze,3544,loyal,LA,Lake Casey,EST,25-34,F,Low,organic_search,,low,True,False,2024-02-07,26,27.41,"{'preferred_categories': ['Clothing', 'Toys', 'Books'], 'price_sensitivity': 'low', 'brand_loyalty': 'medium', 'shopping_frequency': 'regular', 'preferred_payment': 'credit_card'}","{'email': False, 'sms': True, 'push_notifications': True, 'phone_calls': False}"
51,Jessica Holmes,jessicaawesome27@gmail.com,(408) 749-4063,"5994 Washington St Unit 117, Port Anthonybury, CA 97910",2024-05-15,Platinum,11275,champion,CA,Port Anthonybury,PST,35-44,F,Middle,organic_search,,low,False,True,2024-07-09,29,1364.73,"{'preferred_categories': ['Toys', 'Sports', 'Books'], 'price_sensitivity': 'medium', 'brand_loyalty': 'low', 'shopping_frequency': 'regular', 'preferred_payment': 'debit_card'}","{'email': False, 'sms': False, 'push_notifications': True, 'phone_calls': False}"
52,Danny Morgan,danny.cool45@yahoo.com,(376) 889-5873,"9670 Oak Ave, Port Andrew, SC 51049",2024-01-27,Gold,11212,champion,SC,Port Andrew,EST,65+,F,Lower-Middle,organic_search,,low,False,False,2024-03-13,80,383.31,"{'preferred_categories': ['Toys', 'Electronics', 'Home', 'Books', 'Beauty'], 'price_sensitivity': 'high', 'brand_loyalty': 'low', 'shopping_frequency': 'regular', 'preferred_payment': 'apple_pay'}","{'email': False, 'sms': False, 'push_notifications': False, 'phone_calls': True}"
53,Crystal Robinson,crystal_robinson@outlook.com,(633) 390-8973,"8805 First St, East David, OR 74178",2023-11-11,Platinum,12618,champion,OR,East David,PST,25-34,M,Low,organic_search,,medium,True,False,2024-03-18,13,1620.46,"{'preferred_categories': ['Home', 'Toys', 'Electronics', 'Health'], 'price_sensitivity': 'high', 'brand_loyalty': 'medium', 'shopping_frequency': 'frequent', 'preferred_payment': 'debit_card'}","{'email': True, 'sms': True, 'push_notifications': True, 'phone_calls': True}"
54,Mark Perez,markmaster18@gmail.com,(831) 868-9109,"6704 Broadway, New Staciemouth, CA 68176",2022-12-21,Platinum,25347,champion,CA,New Staciemouth,PST,65+,F,Middle,organic_search,,medium,False,False,2024-04-11,36,2569.9,"{'preferred_categories': ['Beauty', 'Home', 'Books'], 'price_sensitivity': 'medium', 'brand_loyalty': 'high', 'shopping_frequency': 'frequent', 'preferred_payment': 'debit_card'}","{'email': True, 'sms': False, 'push_notifications': True, 'phone_calls': False}"
